estado,regiao,pib_2023_bilhoes,idh_2022,populacao_milhoes,area_km2
Acre,Norte,21.8,0.710,0.9,164123
Alagoas,Nordeste,78.5,0.684,3.4,27848
Amapá,Norte,21.3,0.740,0.9,142828
Amazonas,Norte,138.6,0.733,4.3,1559167
Bahia,Nordeste,352.6,0.691,14.1,564733
Ceará,Nordeste,212.1,0.734,9.2,148920
Distrito Federal,Centro-Oeste,305.5,0.850,3.1,5760
Espírito Santo,Sudeste,187.2,0.771,4.1,46077
Goiás,Centro-Oeste,295.2,0.769,7.3,340111
Maranhão,Nordeste,124.9,0.676,7.1,331983
Mato Grosso,Centro-Oeste,257.8,0.774,3.7,903357
Mato Grosso do Sul,Centro-Oeste,150.6,0.774,2.8,357145
Minas Gerais,Sudeste,890.3,0.774,20.5,586521
Pará,Norte,267.1,0.690,8.8,1247689
Paraíba,Nordeste,79.1,0.722,4.1,56467
Paraná,Sul,640.5,0.792,11.6,199298
Pernambuco,Nordeste,238.2,0.727,9.7,98311
Piauí,Nordeste,63.4,0.690,3.3,251577
Rio de Janeiro,Sudeste,988.7,0.775,16.1,43750
Rio Grande do Norte,Nordeste,86.2,0.728,3.6,52811
Rio Grande do Sul,Sul,633.6,0.771,10.9,281730
Rondônia,Norte,58.8,0.730,1.8,237590
Roraima,Norte,18.5,0.740,0.7,224273
Santa Catarina,Sul,494.2,0.808,7.9,95346
São Paulo,Sudeste,2890.5,0.806,44.4,248222
Sergipe,Nordeste,51.6,0.702,2.3,21915
Tocantins,Norte,61.2,0.731,1.6,277720
